Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39618887,The Plotters,Kim Un-su,"Un-su, Kim",Sora Kim-Russell,"=""1925603768""","=""9781925603767""",0,3.58,Text Publishing,Paperback,310,2018,2010,,2023/05/02,to-read,to-read (#101),to-read,,,,0,0
30841984,"Kings of the Wyld (The Band, #1)",Nicholas Eames,"Eames, Nicholas",,"=""0316362476""","=""9780316362474""",0,4.28,Orbit,Paperback,502,2017,2017,,2023/05/02,to-read,to-read (#100),to-read,,,,0,0
58986612,"The Perfect Crimes of Marian Hayes (London Highwaymen, #2)",Cat Sebastian,"Sebastian, Cat",,"=""0063026252""","=""9780063026254""",0,3.91,Avon US,Paperback,352,2023,2022,,2023/05/02,to-read,to-read (#99),to-read,,,,0,0
25733983,Lab Girl,Hope Jahren,"Jahren, Hope",,"=""1101874937""","=""9781101874936""",0,3.98,Knopf,Hardcover,290,2016,2016,,2023/04/10,currently-reading,currently-reading (#2),currently-reading,,,,1,0
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,"=""0062968785""","=""9780062968784""",3,4.08,Harper,Hardcover,368,2020,2018,2023/04/26,2023/01/16,,,read,,,,1,0
60784549,In the Lives of Puppets,T.J. Klune,"Klune, T.J.",,"=""125021744X""","=""9781250217448""",0,4.28,Tor Books,Hardcover,420,2023,2023,,2023/04/25,to-read,to-read (#98),to-read,,,,0,0
50531218,"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""0241480744""","=""9780241480748""",3,4.25,Penguin,Hardcover,380,2021,2021,2023/04/24,2023/04/19,,,read,,,,1,0
9418327,Bossypants,Tina Fey,"Fey, Tina",,"=""""","=""""",3,3.96,Reagan Arthur Books,Kindle Edition,283,2011,2011,2023/04/20,2022/06/19,"memoirs, audiobook","memoirs (#7), audiobook (#45)",read,,,,1,0
58658940,"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""""","=""9780316371124""",0,4.17,"Little, Brown Books for Young Readers",ebook,400,2022,2022,,2023/04/19,to-read,to-read (#97),to-read,,,,0,0
52439531,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""1368052401""","=""9781368052405""",4,4.22,"Little, Brown Books for Young Readers",Hardcover,384,2020,2020,2023/04/13,2023/03/13,my-book-nook,my-book-nook (#3),read,,,,1,0
30653713,"Hello, Universe: A Newbery Award Winner",Erin Entrada Kelly,"Kelly, Erin Entrada",Isabel Roxas,"=""0062414151""","=""9780062414151""",3,3.95,Greenwillow Books,Hardcover,320,2017,2017,2023/04/10,2023/03/29,audiobook,audiobook (#44),read,,,,1,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.12,Knopf,Hardcover,259,2022,2022,,2023/03/24,"to-read, my-book-nook","to-read (#93), my-book-nook (#8)",to-read,,,,0,0
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,"=""1442408928""","=""9781442408920""",3,4.33,Simon & Schuster Books for Young Readers,Hardcover,390,2012,2012,2023/04/05,2022/01/02,my-book-nook,my-book-nook (#7),read,,,,1,0
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""1579126278""","=""9781579126278""",0,4.26,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,2023/03/28,2023/02/14,audiobook,audiobook (#43),read,,,,1,0
60177373,Fairy Tale,Stephen King,"King, Stephen",,"=""1668002175""","=""9781668002179""",0,4.16,Scribner,Hardcover,608,2022,2022,,2023/03/26,to-read,to-read (#96),to-read,,,,0,0
60018639,Thistlefoot,GennaRose Nethercott,"Nethercott, GennaRose",,"=""059346883X""","=""9780593468838""",0,3.99,Anchor,Hardcover,448,2022,2022,,2023/03/26,to-read,to-read (#95),to-read,,,,0,0
60018635,The Very Secret Society of Irregular Witches,Sangu Mandanna,"Mandanna, Sangu",,"=""059343935X""","=""9780593439357""",0,4.20,Berkley,Paperback,336,2022,2022,,2023/03/26,to-read,to-read (#94),to-read,,,,0,0
54798488,The One Hundred Years of Lenni and Margot,Marianne Cronin,"Cronin, Marianne",,"=""0063017504""","=""9780063017504""",5,4.32,Harper Perennial,Paperback,322,2021,2021,2023/03/24,2022/07/06,my-book-nook,my-book-nook (#9),read,,,,1,0
52656911,The Guest List,Lucy Foley,"Foley, Lucy",,"=""""","=""""",0,3.84,William Morrow,Kindle Edition,319,2020,2020,,2023/03/14,,,read,,,,1,0
65112,"The End (A Series of Unfortunate Events, #13)",Lemony Snicket,"Snicket, Lemony",,"=""0064410161""","=""9780064410168""",2,4.03,HarperCollins Publishers,Hardcover,357,2006,2006,2023/03/14,2023/03/03,audiobook,audiobook (#42),read,,,,1,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",3,3.73,Picador,Paperback,213,2019,2015,2023/03/13,2022/09/12,,,read,,,,1,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",0,4.29,Knopf,Hardcover,256,2021,2021,,2023/03/13,"to-read, my-book-nook","to-read (#92), my-book-nook (#5)",to-read,,,,0,0
13588356,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"Brown, Brené",,"=""1592407331""","=""9781592407330""",0,4.29,Avery,Hardcover,287,2012,2012,,2023/03/13,"to-read, my-book-nook","to-read (#90), my-book-nook (#2)",to-read,,,,0,0
40109367,Dare to Lead,Brené Brown,"Brown, Brené",,"=""147356252X""","=""9781473562523""",0,4.19,Ebury Digital,ebook,332,2018,2018,,2023/03/13,"to-read, my-book-nook","to-read (#91), my-book-nook (#1)",to-read,,,,0,0
56060300,"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,"Oseman, Alice",,"=""1338617567""","=""9781338617566""",5,4.64,Graphix,Hardcover,384,2022,2021,,2023/03/04,,,read,,,,1,0
40495957,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,"Oseman, Alice",,"=""152722533X""","=""9781527225336""",4,4.50,Selfpublished,Paperback,288,2018,2018,2023/03/03,2023/03/03,,,read,,,,1,0
43307358,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,"Oseman, Alice",,"=""1444951408""","=""9781444951400""",4,4.57,Hodder Children's Books,Paperback,320,2019,2019,2023/03/03,2023/03/03,,,read,,,,1,0
43449920,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,"Oseman, Alice",,"=""""","=""""",4,4.60,Hodder Children's Books,Paperback,384,2020,2020,2023/03/04,2023/03/04,,,read,,,,1,0
65110,"The Penultimate Peril (A Series of Unfortunate Events, #12)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064410153""","=""9780064410151""",3,4.07,HarperCollins Publishers,Hardcover,353,2005,2005,2023/03/02,2023/02/27,audiobook,audiobook (#40),read,,,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.45,Ecco,Hardcover,368,2022,2022,,2023/03/01,to-read,to-read (#89),to-read,,,,0,0
57145833,My Body,Emily Ratajkowski,"Ratajkowski, Emily",,"=""1250817862""","=""9781250817860""",0,4.06,Metropolitan Books,Hardcover,239,2021,2021,,2023/02/28,to-read,to-read (#88),to-read,,,,0,0
50887097,Why Fish Don't Exist,Lulu Miller,"Miller, Lulu",,"=""""","=""""",0,4.18,Simon  Schuster,Hardcover,225,2020,2020,,2023/02/28,to-read,to-read (#87),to-read,,,,0,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",5,4.48,Metropolitan Books,Hardcover,282,2014,2014,2023/02/27,2023/02/22,audiobook,audiobook (#41),read,,,,1,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",0,4.09,W. W. Norton & Company,Hardcover,223,2017,2017,,2023/02/07,"non-fiction, audiobook, to-read","non-fiction (#7), audiobook (#37), to-read (#86)",to-read,,,,0,0
65111,"The Grim Grotto (A Series of Unfortunate Events, #11)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064410145""","=""9780064410144""",3,4.02,HarperCollins Publishers,Hardcover,323,2004,2004,2023/02/22,2023/02/16,audiobook,audiobook (#39),read,,,,1,0
58214328,What My Bones Know: A Memoir of Healing from Complex Trauma,Stephanie Foo,"Foo, Stephanie",,"=""0593238109""","=""9780593238103""",5,4.52,Ballantine Books,Hardcover,352,2022,2022,2023/02/16,2023/02/13,"audiobook, memoirs","audiobook (#38), memoirs (#10)",read,"I came into this book curious to learn more about Complex PTSD and how to be more empathetic in general. But I did not expect I would actually be able to relate and question some of my own experiences (even though I did not experience anything to that same level). It was really hard to listen to the author's recollection of her childhood and at times I would find myself mouth agape in pure shock between how horrid the author's parents treated her and how detached the events were described. For the rest of the book the author talked through her years of trying to heal after her diagnosis. I very much appreciated how candid the author was about her ups and downs, the methods that worked or didn't work for her, and especially her analysis of how race/mental health specifically for asians in America influence our childhoods and how that impacts how we deal with stress/problems as adults. <br/>In addition, I would recommend listening to the audiobook. There is a section of the book where actual therapy sessions are included and I really appreciated the bravery it took to allow outsiders listen to something so intimate. As someone who hasn't been in therapy, this part of the book really gave me insight into what goes on during therapy and how it can actually help someone work through their thoughts and feelings. Overall, I appreciate the bravery it took to convey her story of healing and finding self-love.",,,1,0
43126457,Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,"Tolentino, Jia",,"=""0525510540""","=""9780525510543""",0,4.07,Random House,Hardcover,303,2019,2019,,2023/01/27,"audiobook, essays, to-read, try-to-get-back-to","audiobook (#32), essays (#1), to-read (#85), try-to-get-back-to (#7)",to-read,,,,0,0
297792,"The Slippery Slope (A Series of Unfortunate Events, #10)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064410137""","=""9780064410137""",3,4.04,HarperCollins Publishers,Hardcover,337,2003,2003,2023/02/06,2023/02/02,audiobook,audiobook (#36),read,,,,1,0
61242426,"Legends & Lattes (Legends & Lattes, #1)",Travis  Baldree,"Baldree, Travis",,"=""""","=""""",0,4.28,Tor,Kindle Edition,296,2022,2022,,2022/12/28,currently-reading,currently-reading (#1),currently-reading,,,,1,0
